"name","month","opened","responses","activities"
"dev78","2010-11",2,4,6
"dev78","2013-04",0,5,5
"dev78","2014-04",3,14,17
"dev78","2014-05",4,13,17
"dev78","2010-05",2,0,2
"dev78","2014-06",12,17,29
"dev78","2010-07",0,5,5
"dev78","2013-03",0,5,5
"dev78","2014-01",0,1,1
"dev10","2003-08",124,0,124
"dev78","2015-06",1,5,6
"dev10","2003-06",79,2,81
"dev10","2005-08",11,3,14
"dev78","2013-11",0,8,8
"dev78","2014-12",1,3,4
"dev78","2015-09",0,4,4
"dev78","2013-05",0,11,11
"dev78","2015-01",1,3,4
"dev78","2013-12",0,5,5
"dev78","2014-07",0,4,4
"dev48","2003-04",1,30,31
"dev78","2014-08",0,1,1
"dev78","2015-05",0,2,2
"dev78","2013-07",0,2,2
"dev78","2010-06",0,1,1
"dev78","2014-11",0,2,2
"dev78","2015-02",1,1,2
"dev78","2011-06",0,2,2
"dev10","2003-07",160,1,161
"dev10","2003-09",36,84,120
"dev78","2010-12",0,3,3
"dev78","2015-04",0,4,4
"dev10","2006-03",4,0,4
"dev78","2013-09",0,3,3
"dev78","2013-02",0,3,3
"dev10","2013-12",5,7,12
"dev10","2006-09",7,58,65
"dev10","2003-12",16,75,91
"dev10","2006-02",1,0,1
"dev78","2010-10",0,3,3
"dev78","2014-02",0,2,2
"dev10","2004-02",12,74,86
"dev8","2001-05",1,0,1
"dev10","2006-01",2,6,8
"dev8","2002-01",2,1,3
"dev72","2002-04",28,0,28
"dev48","2002-02",44,0,44
"dev10","2014-01",0,6,6
"dev10","2013-04",0,4,4
"dev10","2014-05",6,22,28
"dev10","2013-03",6,15,21
"dev10","2013-01",1,14,15
"dev10","2014-03",1,14,15
"dev10","2013-05",6,19,25
"dev10","2014-04",6,22,28
"dev72","2002-06",7,2,9
"dev10","2006-11",12,31,43
"dev10","2014-12",1,10,11
"dev10","2014-06",1,7,8
"dev10","2007-02",2,24,26
"dev10","2005-03",9,17,26
"dev10","2004-07",19,18,37
"dev10","2005-04",19,14,33
"dev10","2005-05",22,18,40
"dev10","2004-09",5,8,13
"dev10","2006-12",6,39,45
"dev1","2012-02",4,29,33
"dev10","2013-11",2,5,7
"dev1","2012-04",4,18,22
"dev9","2008-07",0,11,11
"dev10","2005-11",11,23,34
"dev10","2005-01",11,11,22
"dev9","2008-10",2,9,11
"dev10","2005-10",5,14,19
"dev1","2004-11",5,33,38
"dev10","2006-08",9,68,77
"dev1","2009-04",0,11,11
"dev1","2001-01",31,0,31
"dev8","2001-01",1,0,1
"dev34","2001-01",50,0,50
"dev1","2001-02",19,0,19
"dev34","2001-02",56,0,56
"dev1","2001-03",113,0,113
"dev34","2001-03",8,0,8
"dev1","2001-04",40,0,40
"dev34","2001-04",11,0,11
"dev72","2001-04",2,0,2
"dev1","2001-05",33,0,33
"dev72","2001-05",4,0,4
"dev34","2001-05",42,0,42
"dev34","2001-06",149,0,149
"dev1","2001-06",39,0,39
"dev1","2001-07",75,0,75
"dev34","2001-07",14,0,14
"dev1","2001-08",68,0,68
"dev34","2001-08",22,0,22
"dev34","2001-09",39,0,39
"dev1","2001-09",24,0,24
"dev34","2001-10",22,0,22
"dev1","2001-10",37,0,37
"dev72","2001-10",3,0,3
"dev1","2001-11",89,0,89
"dev34","2001-11",46,0,46
"dev72","2001-11",3,0,3
"dev34","2001-12",469,0,469
"dev1","2001-12",47,0,47
"dev72","2001-12",1,0,1
"dev48","2001-12",7,0,7
"dev34","2002-01",422,0,422
"dev48","2002-01",31,0,31
"dev1","2002-01",58,0,58
"dev34","2002-02",242,0,242
"dev1","2002-02",101,0,101
"dev72","2002-02",13,0,13
"dev1","2002-03",38,0,38
"dev34","2002-03",223,0,223
"dev48","2002-03",41,0,41
"dev72","2002-03",35,0,35
"dev34","2002-04",406,0,406
"dev48","2002-04",37,0,37
"dev1","2002-04",163,0,163
"dev48","2002-05",25,0,25
"dev34","2002-05",133,0,133
"dev1","2002-05",75,0,75
"dev72","2002-05",11,0,11
"dev34","2002-06",205,0,205
"dev48","2002-06",50,0,50
"dev1","2002-06",50,0,50
"dev34","2002-07",107,0,107
"dev1","2002-07",59,0,59
"dev72","2002-07",4,0,4
"dev48","2002-07",13,0,13
"dev34","2002-08",6,0,6
"dev1","2002-08",17,0,17
"dev48","2002-08",13,0,13
"dev34","2002-09",1,0,1
"dev1","2002-09",96,0,96
"dev48","2002-09",7,0,7
"dev11","2002-09",1,1,2
"dev1","2002-10",56,0,56
"dev34","2002-10",2,0,2
"dev1","2002-11",100,0,100
"dev1","2002-12",51,0,51
"dev48","2002-12",5,0,5
"dev48","2003-01",16,0,16
"dev1","2003-01",97,0,97
"dev1","2003-02",50,64,114
"dev48","2003-02",6,15,21
"dev8","2003-03",7,43,50
"dev8","2003-04",7,34,41
"dev8","2003-05",2,24,26
"dev8","2003-06",6,40,46
"dev8","2003-07",5,78,83
"dev8","2003-08",1,32,33
"dev8","2003-09",1,43,44
"dev8","2003-10",0,16,16
"dev8","2003-11",3,12,15
"dev8","2003-12",0,9,9
"dev8","2004-01",2,36,38
"dev8","2004-02",3,16,19
"dev1","2005-04",14,68,82
"dev10","2006-04",10,45,55
"dev10","2006-05",1,23,24
"dev10","2006-06",4,69,73
"dev9","2006-07",0,16,16
"dev10","2006-07",0,8,8
"dev10","2006-10",7,45,52
"dev10","2007-01",0,8,8
"dev10","2007-08",1,1,2
"dev10","2008-03",0,3,3
"dev10","2008-04",0,7,7
"dev10","2009-10",0,2,2
"dev1","2009-12",10,37,47
"dev10","2010-02",7,53,60
"dev10","2010-05",6,26,32
"dev10","2004-06",6,12,18
"dev10","2005-12",10,16,26
"dev10","2004-08",18,8,26
"dev10","2015-07",0,2,2
"dev10","2014-07",0,1,1
"dev10","2014-10",0,2,2
"dev1","2004-06",12,89,101
"dev10","2015-06",0,2,2
"dev1","2008-10",6,41,47
"dev8","2003-02",26,6,32
"dev10","2015-01",1,3,4
"dev1","2003-12",4,50,54
"dev10","2004-01",9,74,83
"dev10","2004-03",1,16,17
"dev10","2004-04",0,2,2
"dev8","2004-06",2,17,19
"dev8","2004-07",1,16,17
"dev8","2004-08",4,5,9
"dev8","2004-09",0,11,11
"dev10","2004-10",3,4,7
"dev8","2004-10",0,8,8
"dev49","2004-10",1,0,1
"dev10","2004-11",2,4,6
"dev8","2004-11",0,3,3
"dev10","2004-12",1,11,12
"dev49","2005-01",1,0,1
"dev9","2008-11",4,1,5
"dev10","2005-06",4,4,8
"dev10","2005-09",2,16,18
"dev8","2006-10",0,1,1
"dev10","2007-03",0,5,5
"dev10","2009-11",0,6,6
"dev10","2009-12",2,30,32
"dev10","2010-01",6,51,57
"dev10","2010-03",2,36,38
"dev10","2010-04",2,14,16
"dev10","2010-06",0,7,7
"dev10","2010-07",0,6,6
"dev10","2010-10",1,9,10
"dev10","2010-11",1,21,22
"dev10","2010-12",9,39,48
"dev10","2011-01",3,26,29
"dev10","2011-02",1,17,18
"dev10","2011-03",2,10,12
"dev10","2011-04",0,13,13
"dev1","2011-08",6,18,24
"dev10","2012-01",0,2,2
"dev1","2012-01",1,13,14
"dev1","2012-03",6,20,26
"dev1","2012-05",6,10,16
"dev1","2013-05",1,6,7
"dev1","2014-03",3,8,11
"dev1","2014-04",2,7,9
"dev1","2014-05",8,11,19
"dev1","2014-06",5,4,9
"dev1","2014-07",3,5,8
"dev1","2014-08",5,5,10
"dev1","2014-09",3,2,5
"dev1","2014-10",2,0,2
"dev1","2014-11",3,1,4
"dev1","2014-12",1,6,7
"dev1","2015-01",1,7,8
"dev1","2015-02",2,6,8
"dev1","2015-03",2,0,2
"dev1","2015-04",1,3,4
"dev1","2015-05",3,6,9
"dev1","2015-06",4,17,21
"dev1","2015-07",4,3,7
"dev1","2015-08",2,0,2
"dev1","2015-09",1,3,4
"dev1","2015-10",1,2,3
"dev10","2015-05",0,4,4
"dev10","2015-04",1,3,4
"dev10","2013-02",0,5,5
"dev1","2005-01",2,55,57
"dev10","2012-11",0,1,1
"dev1","2006-10",12,36,48
"dev1","2004-10",15,44,59
"dev10","2014-02",0,2,2
"dev1","2013-12",1,8,9
"dev1","2013-10",3,4,7
"dev1","2013-08",1,11,12
"dev1","2012-08",0,2,2
"dev1","2012-06",0,5,5
"dev1","2011-10",0,16,16
"dev1","2011-09",0,7,7
"dev1","2011-02",3,24,27
"dev1","2010-12",0,12,12
"dev1","2010-08",7,27,34
"dev1","2010-07",2,23,25
"dev1","2010-06",4,66,70
"dev1","2010-05",2,31,33
"dev1","2010-04",5,42,47
"dev1","2010-02",2,45,47
"dev1","2010-01",1,28,29
"dev1","2009-11",0,22,22
"dev1","2009-10",3,46,49
"dev1","2006-09",18,77,95
"dev1","2006-08",3,41,44
"dev1","2006-07",2,17,19
"dev1","2006-05",1,17,18
"dev1","2006-03",0,16,16
"dev1","2006-01",0,59,59
"dev1","2005-12",2,29,31
"dev1","2005-11",13,38,51
"dev1","2005-10",2,34,36
"dev1","2005-09",4,31,35
"dev1","2013-11",0,9,9
"dev1","2013-03",1,16,17
"dev1","2011-11",4,26,30
"dev1","2011-03",1,11,12
"dev1","2011-01",3,7,10
"dev1","2010-11",2,27,29
"dev1","2010-09",1,18,19
"dev1","2010-03",1,30,31
"dev1","2009-09",7,53,60
"dev1","2006-06",0,24,24
"dev1","2006-04",0,31,31
"dev1","2005-07",4,13,17
"dev1","2005-06",3,26,29
"dev1","2013-07",4,5,9
"dev1","2010-10",1,17,18
"dev1","2014-01",2,12,14
"dev1","2013-09",3,7,10
"dev1","2013-04",0,10,10
"dev1","2012-07",0,7,7
"dev1","2005-05",8,113,121
"dev1","2011-05",0,1,1
"dev1","2011-07",2,12,14
"dev1","2005-08",1,10,11
"dev1","2012-09",0,2,2
"dev1","2006-02",2,29,31
"dev1","2013-06",1,1,2
"dev1","2011-04",0,2,2
"dev1","2009-08",4,23,27
"dev1","2013-02",0,2,2
"dev1","2003-08",13,134,147
"dev1","2003-03",20,112,132
"dev48","2001-10",1,0,1
"dev74","2002-02",1,0,1
"dev8","2002-04",1,0,1
"dev80","2007-06",1,0,1
"dev10","2015-10",0,1,1
"dev70","2003-02",2,0,2
"dev77","2008-03",0,18,18
"dev70","2003-03",24,0,24
"dev70","2003-04",45,0,45
"dev70","2003-05",21,0,21
"dev70","2003-06",2,0,2
"dev70","2003-08",17,0,17
"dev70","2003-09",1,0,1
"dev70","2003-10",2,0,2
"dev70","2004-01",0,1,1
"dev70","2004-02",1,6,7
"dev10","2015-03",0,2,2
"dev70","2004-03",0,2,2
"dev8","2000-11",0,1,1
"dev1","2004-07",6,48,54
"dev1","2008-02",3,16,19
"dev1","2005-03",14,99,113
"dev1","2005-02",10,60,70
"dev1","2004-09",7,58,65
"dev1","2004-04",7,95,102
"dev1","2004-02",4,100,104
"dev1","2004-01",8,83,91
"dev1","2003-11",8,126,134
"dev1","2003-10",7,150,157
"dev1","2003-09",9,146,155
"dev1","2003-07",8,185,193
"dev1","2003-05",6,73,79
"dev1","2003-04",11,203,214
"dev1","2004-12",0,64,64
"dev1","2004-08",1,19,20
"dev1","2004-05",6,34,40
"dev1","2004-03",1,40,41
"dev1","2003-06",7,41,48
"dev8","2001-08",0,1,1
"dev10","2003-10",8,66,74
"dev10","2003-11",1,34,35
"dev69","2001-07",2,0,2
"dev8","2004-03",0,3,3
"dev8","2004-04",0,1,1
"dev10","2014-11",1,0,1
"dev1","2009-05",0,6,6
"dev1","2009-02",6,27,33
"dev1","2008-11",6,75,81
"dev1","2008-09",11,40,51
"dev1","2008-07",6,24,30
"dev1","2007-12",4,12,16
"dev1","2007-10",5,33,38
"dev1","2007-09",0,5,5
"dev1","2007-08",3,12,15
"dev1","2007-07",0,7,7
"dev1","2007-06",0,9,9
"dev1","2008-12",0,10,10
"dev1","2008-06",2,31,33
"dev1","2008-03",2,15,17
"dev1","2007-11",3,12,15
"dev1","2007-05",2,15,17
"dev1","2007-02",0,10,10
"dev1","2006-11",4,14,18
"dev1","2008-08",4,31,35
"dev1","2007-04",4,6,10
"dev1","2007-03",0,12,12
"dev1","2009-01",4,32,36
"dev1","2008-04",6,21,27
"dev1","2009-07",4,33,37
"dev1","2009-03",2,14,16
"dev1","2007-01",2,16,18
"dev1","2006-12",1,18,19
"dev1","2008-05",1,9,10
"dev1","2008-01",1,14,15
"dev1","2009-06",0,13,13
"dev78","2013-08",0,9,9
"dev11","2003-02",23,0,23
"dev10","2003-02",20,0,20
"dev11","2003-04",18,20,38
"dev10","2003-04",53,0,53
"dev11","2003-03",26,19,45
"dev78","2015-03",0,1,1
"dev78","2013-06",0,1,1
"dev78","2015-08",0,1,1
"dev10","2003-05",22,0,22
"dev10","2003-03",15,0,15
"dev8","2001-03",0,1,1
"dev78","2014-03",0,1,1
"dev78","2014-10",0,1,1
"dev11","2003-05",1,0,1
"dev9","2010-05",0,2,2
"dev48","2003-05",0,21,21
"dev9","2009-12",0,3,3
"dev9","2010-02",0,5,5
"dev48","2003-03",1,19,20
"dev72","2004-09",1,0,1
"dev50","2013-02",0,1,1
"dev9","2010-09",0,5,5
"dev50","2012-05",0,1,1
"dev9","2010-03",0,2,2
"dev9","2008-08",0,14,14
"dev9","2007-10",0,9,9
"dev9","2007-01",1,17,18
"dev9","2009-06",4,0,4
"dev9","2010-01",0,2,2
"dev9","2009-04",16,0,16
"dev9","2014-02",0,8,8
"dev9","2007-06",0,11,11
"dev9","2007-11",0,2,2
"dev9","2007-04",0,10,10
"dev9","2007-07",0,11,11
"dev9","2007-02",0,4,4
"dev9","2008-01",0,1,1
"dev9","2010-07",0,7,7
"dev48","2003-08",0,14,14
"dev9","2006-04",1,10,11
"dev9","2010-06",0,5,5
"dev72","2001-09",0,2,2
"dev9","2002-09",0,1,1
"dev48","2002-11",0,1,1
"dev9","2003-02",0,4,4
"dev9","2003-03",0,2,2
"dev9","2003-04",0,11,11
"dev9","2003-05",0,5,5
"dev9","2003-06",0,11,11
"dev9","2003-07",0,16,16
"dev9","2003-08",0,23,23
"dev9","2003-09",0,5,5
"dev9","2003-10",0,11,11
"dev9","2003-11",0,10,10
"dev9","2003-12",0,4,4
"dev9","2004-01",1,49,50
"dev49","2004-01",1,0,1
"dev9","2004-02",0,37,37
"dev9","2004-03",0,44,44
"dev9","2004-04",1,52,53
"dev9","2004-05",1,15,16
"dev9","2004-06",0,21,21
"dev9","2004-07",0,19,19
"dev9","2004-08",0,28,28
"dev9","2004-09",0,19,19
"dev9","2004-10",3,18,21
"dev9","2004-11",0,13,13
"dev9","2004-12",2,14,16
"dev9","2005-01",0,38,38
"dev9","2005-02",1,30,31
"dev9","2005-03",0,27,27
"dev9","2005-04",0,26,26
"dev9","2005-05",0,15,15
"dev9","2005-06",0,13,13
"dev9","2005-07",0,6,6
"dev9","2005-08",0,9,9
"dev9","2005-09",0,12,12
"dev9","2005-10",0,12,12
"dev9","2005-11",0,10,10
"dev9","2005-12",0,10,10
"dev9","2006-01",0,15,15
"dev9","2006-02",0,19,19
"dev9","2006-03",0,6,6
"dev9","2006-05",0,12,12
"dev9","2006-06",0,2,2
"dev9","2006-08",0,10,10
"dev9","2006-09",0,7,7
"dev9","2006-10",0,9,9
"dev9","2006-11",0,2,2
"dev9","2007-03",0,6,6
"dev11","2008-03",0,27,27
"dev11","2008-05",0,6,6
"dev50","2008-07",0,1,1
"dev50","2009-05",0,2,2
"dev77","2010-06",0,4,4
"dev50","2010-07",1,1,2
"dev9","2008-06",0,3,3
"dev9","2007-05",0,5,5
"dev9","2007-08",0,6,6
"dev9","2008-02",0,4,4
"dev48","2003-07",0,12,12
"dev9","2008-03",0,7,7
"dev9","2006-12",1,5,6
"dev9","2009-11",0,5,5
"dev9","2007-09",0,3,3
"dev9","2008-04",0,4,4
"dev9","2008-05",0,1,1
"dev9","2009-03",11,0,11
"dev9","2007-12",0,2,2
"dev9","2009-05",4,0,4
"dev49","2003-08",0,3,3
"dev77","2004-06",0,2,2
"dev77","2004-07",0,6,6
"dev77","2004-08",0,14,14
"dev77","2004-09",0,16,16
"dev49","2004-09",0,1,1
"dev77","2004-10",0,20,20
"dev77","2004-11",0,14,14
"dev49","2004-11",0,1,1
"dev77","2004-12",0,15,15
"dev77","2005-01",0,8,8
"dev77","2005-02",0,16,16
"dev49","2005-03",0,2,2
"dev77","2005-03",0,24,24
"dev77","2005-04",0,5,5
"dev77","2005-05",0,9,9
"dev77","2005-06",0,15,15
"dev77","2005-07",1,5,6
"dev11","2005-07",0,1,1
"dev11","2005-08",1,23,24
"dev77","2005-08",0,2,2
"dev11","2005-09",1,31,32
"dev77","2005-09",0,1,1
"dev11","2005-10",0,14,14
"dev11","2005-11",0,23,23
"dev11","2005-12",0,18,18
"dev11","2006-01",0,26,26
"dev11","2006-02",1,25,26
"dev11","2006-03",0,19,19
"dev11","2006-04",0,24,24
"dev49","2006-04",1,1,2
"dev11","2006-05",0,29,29
"dev11","2006-06",2,33,35
"dev11","2006-07",0,13,13
"dev11","2006-08",0,23,23
"dev11","2006-09",0,17,17
"dev11","2006-10",0,27,27
"dev11","2006-11",0,10,10
"dev11","2006-12",0,17,17
"dev11","2007-01",0,41,41
"dev11","2007-02",1,35,36
"dev11","2007-03",1,16,17
"dev11","2007-04",0,21,21
"dev11","2007-05",0,8,8
"dev11","2007-06",0,19,19
"dev11","2007-07",0,9,9
"dev11","2007-08",0,10,10
"dev11","2007-09",0,26,26
"dev11","2007-10",0,30,30
"dev11","2007-11",0,22,22
"dev11","2007-12",0,11,11
"dev11","2008-01",0,25,25
"dev11","2008-02",0,25,25
"dev11","2008-04",0,19,19
"dev11","2008-06",0,11,11
"dev11","2008-07",0,3,3
"dev11","2008-08",0,7,7
"dev11","2008-09",0,7,7
"dev11","2008-10",0,7,7
"dev11","2008-11",1,8,9
"dev11","2008-12",0,2,2
"dev11","2009-01",0,3,3
"dev11","2009-02",0,2,2
"dev10","2009-02",0,1,1
"dev10","2009-03",0,8,8
"dev11","2009-03",0,1,1
"dev10","2009-04",0,1,1
"dev11","2009-05",0,3,3
"dev11","2009-06",0,8,8
"dev11","2009-07",0,2,2
"dev11","2009-08",0,4,4
"dev11","2009-09",0,1,1
"dev11","2009-10",0,6,6
"dev11","2010-03",0,1,1
"dev11","2010-09",0,2,2
"dev49","2011-02",0,1,1
"dev11","2011-02",0,1,1
"dev72","2001-06",2,0,2
"dev9","2009-02",1,0,1
"dev48","2003-06",1,4,5
"dev50","2012-08",0,2,2
"dev9","2010-08",0,1,1
"dev9","2008-09",0,1,1
"dev50","2011-10",0,2,2
"dev50","2012-01",0,1,1
"dev74","2004-04",1,0,1
"dev1","2011-12",0,6,6
"dev1","2013-01",0,2,2
"dev1","2012-11",0,2,2
"dev9","2011-02",0,4,4
"dev9","2009-10",0,1,1
"dev9","2009-09",0,2,2
"dev50","2011-03",0,2,2
"dev77","2010-08",0,4,4
"dev77","2011-02",0,2,2
"dev77","2011-03",0,1,1
"dev77","2010-11",0,3,3
"dev77","2010-05",0,2,2
"dev77","2010-07",0,2,2
"dev77","2011-01",0,1,1
"dev9","2011-03",0,2,2
"dev77","2010-09",0,1,1
"dev8","2001-07",1,0,1
"dev48","2004-02",1,0,1
"dev50","2011-12",0,1,1
"dev1","2000-07",0,1,1
"dev9","2011-06",0,3,3
"dev9","2011-04",0,3,3
"dev9","2011-05",0,3,3
"dev50","2011-05",0,1,1
"dev9","2010-10",0,2,2
"dev9","2013-05",0,2,2
"dev9","2012-05",0,2,2
"dev9","2013-08",0,11,11
"dev9","2012-02",0,2,2
"dev9","2013-10",0,3,3
"dev9","2011-12",0,6,6
"dev9","2013-09",0,1,1
"dev9","2014-11",0,1,1
"dev9","2011-07",0,2,2
"dev9","2012-08",0,1,1
"dev9","2015-02",0,1,1
"dev9","2011-08",0,1,1
"dev74","2004-06",0,1,1
"dev77","2013-08",0,1,1
"dev77","2012-09",0,1,1
"dev77","2012-01",0,1,1
"dev77","2011-07",0,1,1
"dev77","2013-07",1,0,1
"dev77","2013-04",0,1,1
"dev77","2011-11",0,1,1
"dev74","2004-11",0,1,1
"dev74","2004-10",1,0,1
"dev9","2011-01",0,1,1
"dev77","2005-10",0,1,1
"dev77","2005-11",0,4,4
"dev77","2006-01",0,1,1
"dev77","2006-02",0,2,2
"dev77","2006-03",0,2,2
"dev77","2006-04",0,4,4
"dev77","2006-05",0,2,2
"dev77","2006-06",0,4,4
"dev77","2006-07",0,3,3
"dev77","2006-08",0,10,10
"dev77","2006-09",0,10,10
"dev77","2006-10",0,40,40
"dev77","2006-11",0,18,18
"dev77","2006-12",0,25,25
"dev77","2007-01",0,28,28
"dev77","2007-02",0,10,10
"dev77","2007-03",0,6,6
"dev77","2007-04",0,4,4
"dev77","2007-05",0,6,6
"dev77","2007-06",0,19,19
"dev77","2007-07",0,14,14
"dev77","2007-08",0,22,22
"dev77","2007-09",0,22,22
"dev77","2007-10",0,19,19
"dev77","2007-11",0,6,6
"dev77","2007-12",0,6,6
"dev77","2008-01",0,8,8
"dev77","2008-02",0,9,9
"dev77","2008-04",0,7,7
"dev77","2008-05",0,9,9
"dev77","2008-06",0,4,4
"dev77","2008-08",0,2,2
"dev77","2008-09",0,2,2
"dev77","2008-10",0,2,2
"dev77","2008-11",0,3,3
"dev77","2008-12",0,4,4
"dev77","2009-01",0,1,1
"dev77","2009-02",0,1,1
"dev77","2009-03",0,3,3
"dev77","2009-04",0,4,4
"dev77","2009-06",0,2,2
"dev77","2009-09",0,1,1
"dev77","2009-11",0,2,2
"dev77","2010-01",0,1,1
"dev77","2010-03",0,2,2
"dev48","2006-01",1,0,1
"dev50","2012-07",0,1,1
"dev77","2010-04",0,2,2
"dev8","2001-12",0,1,1
"dev72","2002-10",0,1,1
"dev8","2001-09",1,0,1
"dev8","2001-10",1,0,1
